Date	LOCATION	Approved_applications	Actual_use	Headcounts		Country
05/20	NZL	 66.27 	 66.27 	 1436 		New Zealand
05/20	FRA	 54.93 	 32.61 	 13140 		France
04/20	CHE	 45.43 	#N/A	 1842 		Switzerland
05/20	ITA	 45.20 	#N/A	 8178 		Italy
05/20	AUT	 36.84 	 36.84 	 1415 		Austria
05/20	PRT	 32.95 	#N/A	 1344 		Portugal
05/20	GBR	 31.47 	 31.47 	 8696 		United Kingdom
05/20	DEU	 30.24 	 18.74 	 11720 		Germany
04/20	LUX	 28.03 	#N/A	 73 		Luxembourg
05/20	NLD	 27.97 	 27.97 	 2100 		Netherlands
05/20	AUS	 24.69 	 24.69 	 2900 		Australia
05/20	BEL	 22.49 	#N/A	 939 		Belgium
05/20	IRL	 18.83 	 18.83 	 380 		Irleland
05/20	CZE	 18.09 	 18.09 	 799 		Czech Republic
05/20	ESP	 17.81 	 17.81 	 2999 		Spain
05/20	SWE	 11.48 	 11.48 	 531 		Sweden
05/20	DNK	 9.19 	 9.19 	 243 		Denmark
05/20	NOR	 8.50 	 8.50 	 217 		Norway
05/20	FIN	 7.35 	 7.35 	 162 		Finland
05/20	LVA	 5.61 	 5.61 	 45 		Latvia
06/20	CAN	 5.44 	 5.44 	 882 		Canada
05/20	USA	 0.14 	 0.14 	 214 		United States
	OTO	 24.95 	#N/A	 60255 		OECD
